#vnum	name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	s
0	ymir	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
1	 삼연참 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
2	 팔방풍우 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
3	 전귀혼 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
4	 검경 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
5	 탄환격 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
16	 기공참 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
17	 격산타우 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
18	 대진각 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
19	 천근추 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
20	 검풍 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
31	 암습 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
32	 궁신탄영 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
33	 차륜살 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
34	 은형법 	5	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	50	52	54	56	58	60	63	66	69	72	82	85	88	91	94	98	102	106	110	115	130	140	150	160	170	180	190	200	210	220	230
